timestamp,HRJLevel,HRNLevel,LCLLevel,SRVLevel
0,-0.001,10.295,-0.038,3.196
1,-0.001,10.296,-0.036,3.198
2,0.001,10.297,-0.034,3.199
3,0.002,10.299,-0.034,3.199
4,0.003,10.301,-0.031,3.201
5,0.003,10.302,-0.03,3.202
6,0.004,10.302,-0.028,3.202
7,0.005,10.304,-0.028,3.202
8,0.005,10.304,-0.027,3.203
9,0.007,10.305,-0.026,3.205
10,0.008,10.306,-0.026,3.205
11,0.008,10.307,-0.024,3.206
12,0.008,10.308,-0.022,3.207
13,0.011,10.308,-0.023,3.207
14,0.01,10.309,-0.021,3.207
15,0.012,10.312,-0.02,3.209
16,0.014,10.314,-0.016,3.211
17,0.014,10.316,-0.016,3.211
18,0.014,10.316,-0.015,3.212
19,0.015,10.317,-0.014,3.213
20,0.015,10.317,-0.014,3.212
21,0.014,10.315,-0.012,3.213
22,0.015,10.314,-0.014,3.211
23,0.014,10.314,-0.015,3.21
24,0.014,10.314,-0.015,3.209
25,0.014,10.313,-0.015,3.21
26,0.012,10.312,-0.018,3.208
27,0.011,10.311,-0.017,3.207
28,0.011,10.311,-0.019,3.205
29,0.009,10.311,-0.019,3.205
30,0.011,10.31,-0.019,3.205
31,0.01,10.309,-0.02,3.204
32,0.01,10.309,-0.021,3.204
33,0.01,10.308,-0.019,3.204
34,0.01,10.308,-0.02,3.204
35,0.009,10.308,-0.02,3.205
36,0.01,10.308,-0.02,3.204
37,0.01,10.307,-0.022,3.202
38,0.008,10.307,-0.022,3.202
39,0.006,10.307,-0.023,3.201
40,0.006,10.307,-0.023,3.202
41,0.006,10.307,-0.022,3.202
42,0.007,10.307,-0.022,3.202
43,0.007,10.308,-0.021,3.201
44,0.006,10.307,-0.021,3.201
45,0.006,10.305,-0.023,3.201
46,0.006,10.305,-0.023,3.201
47,0.006,10.303,-0.023,3.201
48,0.004,10.302,-0.026,3.198
49,0.004,10.302,-0.024,3.2
50,0.006,10.302,-0.023,3.201
51,0.005,10.303,-0.024,3.2
52,0.005,10.303,-0.023,3.2
53,0.006,10.303,-0.023,3.2
54,0.006,10.303,-0.024,3.2
55,0.005,10.303,-0.024,3.2
56,0.007,10.303,-0.024,3.2
57,0.008,10.304,-0.023,3.202
58,0.008,10.304,-0.021,3.202
59,0.008,10.304,-0.022,3.203
60,0.007,10.304,-0.02,3.203
61,0.007,10.307,-0.021,3.204
62,0.009,10.309,-0.019,3.205
63,0.011,10.311,-0.017,3.206
64,0.012,10.312,-0.016,3.21
65,0.014,10.314,-0.015,3.21
66,0.012,10.315,-0.013,3.211
67,0.011,10.315,-0.013,3.212
68,0.009,10.318,-0.012,3.213
69,0.008,10.32,-0.012,3.215
70,0.007,10.321,-0.01,3.218
71,0.007,10.323,-0.009,3.22
72,0.007,10.325,-0.009,3.221
73,0.006,10.333,-0.009,3.223
74,0.007,10.333,-0.008,3.223
75,0.007,10.334,-0.007,3.226
76,0.008,10.333,-0.006,3.228
77,0.011,10.333,-0.006,3.23
78,0.01,10.334,-0.006,3.231
79,0.011,10.335,-0.006,3.231
80,0.011,10.334,-0.006,3.232
81,0.013,10.334,-0.007,3.232
82,0.014,10.336,-0.007,3.232
83,0.013,10.335,-0.009,3.231
84,0.014,10.335,-0.011,3.23
85,0.012,10.329,-0.013,3.23
86,0.013,10.329,-0.015,3.227
87,0.01,10.329,-0.017,3.226
88,0.011,10.332,-0.018,3.225
89,0.012,10.33,-0.019,3.225
90,0.011,10.328,-0.019,3.224
91,0.011,10.329,-0.023,3.223
92,0.009,10.327,-0.024,3.222
93,0.009,10.326,-0.026,3.219
94,0.008,10.328,-0.028,3.219
95,0.007,10.325,-0.028,3.218
96,0.007,10.324,-0.03,3.215
97,0.007,10.324,-0.032,3.214
98,0.006,10.323,-0.034,3.213
99,0.006,10.323,-0.036,3.21
100,0.003,10.319,-0.038,3.209
101,0.003,10.315,-0.04,3.206
102,0.001,10.314,-0.045,3.205
103,-0.0,10.316,-0.049,3.202
104,-0.002,10.312,-0.05,3.201
105,-0.004,10.312,-0.05,3.199
106,-0.006,10.308,-0.051,3.197
107,-0.006,10.307,-0.053,3.195
108,-0.008,10.307,-0.054,3.194
109,-0.01,10.306,-0.057,3.191
110,-0.013,10.302,-0.061,3.189
111,-0.014,10.301,-0.066,3.188
112,-0.015,10.298,-0.07,3.188
113,-0.017,10.297,-0.067,3.185
114,-0.017,10.295,-0.071,3.185
115,-0.017,10.293,-0.071,3.184
116,-0.017,10.291,-0.068,3.183
117,-0.018,10.29,-0.067,3.183
118,-0.019,10.29,-0.067,3.182
119,-0.018,10.287,-0.065,3.183
120,-0.017,10.287,-0.066,3.182
121,-0.017,10.285,-0.065,3.183
122,-0.016,10.285,-0.061,3.183
123,-0.015,10.283,-0.06,3.183
124,-0.015,10.285,-0.058,3.184
125,-0.014,10.277,-0.057,3.185
126,-0.015,10.282,-0.055,3.185
127,-0.014,10.284,-0.054,3.185
128,-0.014,10.285,-0.053,3.186
129,-0.014,10.281,-0.053,3.187
130,-0.014,10.282,-0.052,3.187
131,-0.011,10.282,-0.05,3.187
132,-0.011,10.283,-0.05,3.189
133,-0.011,10.286,-0.048,3.19
134,-0.01,10.286,-0.048,3.189
135,-0.009,10.286,-0.046,3.191
136,-0.009,10.287,-0.045,3.191
137,-0.008,10.289,-0.044,3.191
138,-0.006,10.289,-0.042,3.192
139,-0.006,10.29,-0.042,3.192
140,-0.005,10.291,-0.041,3.193
141,-0.005,10.294,-0.039,3.194
142,-0.003,10.295,-0.037,3.197
143,-0.001,10.295,-0.035,3.197
144,0.0,10.296,-0.033,3.199
145,0.001,10.296,-0.033,3.198
