"","locID","upDist","pid","netID","rid","ratio","shreve","addfunccol","Sim_Values","level","tss","t","tss0","ind","y_obs"
"1",1,29.471736440136,1,"1","1899",0.205482770688832,1,0.001,9.2792965255574,9.2792965255574,16.3630459376009,1,16.3630459376009,0,16.3630459376009
"2",2,30.737124231642,2,"1","1702",0.492037729592994,1,0.001,10.9724272217197,10.9724272217197,16.6264788335064,1,16.6264788335064,0,16.6264788335064
"3",3,22.0627651612401,3,"1","521",0.333405455807224,2,0.002,10.3844891319815,10.3844891319815,16.057433804293,1,16.057433804293,0,16.057433804293
"4",4,23.2209336512328,4,"1","871",0.210985886864364,2,0.002,10.6120715781262,10.6120715781262,16.8101250183347,1,16.8101250183347,0,16.8101250183347
"5",5,23.0868974979216,5,"1","811",0.068579793674871,2,0.002,12.8206641475793,12.8206641475793,18.2282801396423,1,18.2282801396423,0,18.2282801396423
"6",6,32.755928357053,6,"1","1784",0.881160406162962,1,0.001,9.38264415432081,9.38264415432081,14.7231605149833,1,14.7231605149833,0,14.7231605149833
"7",7,25.8923229741315,7,"1","977",0.630381611874327,2,0.002,9.14849023994497,9.14849023994497,15.2351506939731,1,15.2351506939731,0,15.2351506939731
"8",8,15.2738238193213,8,"1","221",0.004999925848097,8,0.008,11.9171588996673,11.9171588996673,17.8743556139608,1,17.8743556139608,0,17.8743556139608
"9",9,23.9638140688247,9,"1","881",0.364043607376516,2,0.002,11.1356569020008,11.1356569020008,16.3896841830816,1,16.3896841830816,0,16.3896841830816
"10",10,8.95060600625836,10,"1","30",0.365083808545023,40,0.04,11.7305230090092,11.7305230090092,17.0980210095196,1,17.0980210095196,0,17.0980210095196
"11",11,21.8639637150567,11,"1","723",0.006795942783356,2,0.002,8.26372361328693,8.26372361328693,15.4764763411491,1,15.4764763411491,0,15.4764763411491
"12",12,31.4837774451569,12,"1","1632",0.791592161171138,1,0.001,6.85372967990048,6.85372967990048,15.2778828820633,1,15.2778828820633,0,15.2778828820633
"13",13,31.0521818563729,13,"1","1708",0.57261542417109,1,0.001,15.3327754327416,15.3327754327416,19.0040140851435,1,19.0040140851435,0,19.0040140851435
"14",14,28.8045830294847,14,"1","1564",0.414148636627942,1,0.001,9.5828562034029,9.5828562034029,15.651770944247,1,15.651770944247,0,15.651770944247
"15",15,21.2029388346528,15,"1","435",0.768182132160291,4,0.004,6.59947203656725,6.59947203656725,15.1326029929492,1,15.1326029929492,0,15.1326029929492
"16",16,30.3516161996177,16,"1","1476",0.630008424399421,1,0.001,9.6580837505327,9.6580837505327,16.5057819660179,1,16.5057819660179,0,16.5057819660179
"17",17,30.2702846378246,17,"1","1135",0.792948718415573,1,0.001,7.42560261955035,7.42560261955035,13.5453392710889,1,13.5453392710889,0,13.5453392710889
"18",18,29.022136351376,18,"1","1436",0.532850263174623,1,0.001,10.6658210890872,10.6658210890872,16.1117144903466,1,16.1117144903466,0,16.1117144903466
"19",19,30.3823424493467,19,"1","1149",0.696436576079577,1,0.001,9.53132071344084,9.53132071344084,15.2113274810102,1,15.2113274810102,0,15.2113274810102
"20",20,31.6720102016959,20,"1","1514",0.856525672832504,1,0.001,9.6794912703403,9.6794912703403,16.4734149993366,1,16.4734149993366,0,16.4734149993366
"110",1,29.471736440136,21,"1","1899",0.205482770688832,1,0.001,9.2792965255574,9.2792965255574,16.8433323454515,2,16.3630459376009,0,16.8433323454515
